"","city","region","year","season","attendance","arrests","arrests_percent","post","attendance_thosand","treat","income_per_head","percent_from_income","unemployed","beer_tobacco","population","unemployed_thousand","population_thousand","arrest_vs_population"
"1","Barnsley","Yorkshire Humberside",1987,"1987/1988",168339,55,0.033,"0",168.339,"1",5614,0.293729961,3165800,1649,84300,3165.8,84.3,0.652431791221827
"2","Barnsley","Yorkshire Humberside",1988,"1988/1989",166129,21,0.013,"0",166.129,"1",6021,0.287825943,2626200,1733,84466,2626.2,84.466,0.248620746809367
"3","Barnsley","Yorkshire Humberside",1989,"1989/1990",207389,54,0.026,"0",207.389,"1",6722,0.271199048,2084700,1823,84874,2084.7,84.874,0.636237245799656
"4","Barnsley","Yorkshire Humberside",1990,"1990/1991",205464,92,0.045,"1",205.464,"1",7497,0.265839669,1918200,1993,85024,1918.2,85.024,1.0820474219044
"5","Barnsley","Yorkshire Humberside",1991,"1991/1992",172687,62,0.036,"1",172.687,"1",7989,0.278382776,2463000,2224,85284,2463,85.284,0.72698278692369
"6","Barnsley","Yorkshire Humberside",1992,"1992/1993",147543,64,0.043,"1",147.543,"1",8459,0.282657525,2803000,2391,85508,2803,85.508,0.748467979604248
"7","Barnsley","Yorkshire Humberside",1993,"1993/1994",175037,77,0.044,"1",175.037,"1",8690,0.292059839,2904400,2538,85596,2904.4,85.596,0.89957474648348
"8","Birmingham","West Midlands",1987,"1987/1988",814819,541,0.066,"0",814.819,"1",5442,0.286659316,3475800,1560,1006675,3475.8,1006.675,0.53741276976184
"9","Birmingham","West Midlands",1988,"1988/1989",878622,554,0.063,"0",878.622,"1",5992,0.276368491,2734300,1656,1008504,2734.3,1008.504,0.549328510348001
"10","Birmingham","West Midlands",1989,"1989/1990",940322,483,0.051,"0",940.322,"1",6683,0.25497531,1999800,1704,1010364,1999.8,1010.364,0.47804553606423
"11","Birmingham","West Midlands",1990,"1990/1991",908971,397,0.044,"1",908.971,"1",7500,0.251866667,1818500,1889,1011294,1818.5,1011.294,0.392566355580079
"12","Birmingham","West Midlands",1991,"1991/1992",1098746,358,0.033,"1",1098.746,"1",8026,0.261649639,2600700,2100,1013483,2600.7,1013.483,0.353237301464356
"13","Birmingham","West Midlands",1992,"1992/1993",1253730,331,0.026,"1",1253.73,"1",8500,0.238235294,3208900,2025,1014970,3208.9,1014.97,0.326118013340296
"14","Birmingham","West Midlands",1993,"1993/1994",1330277,356,0.027,"1",1330.277,"1",8685,0.226137018,3341400,1964,1016628,3341.4,1016.628,0.350177252643051
"15","Blackburn","Northwest",1987,"1987/1988",211120,79,0.037,"0",211.12,"1",5552,0.400036023,4798400,2221,106003,4798.4,106.003,0.745261926549249
"16","Blackburn","Northwest",1988,"1988/1989",191379,37,0.019,"0",191.379,"1",6064,0.386048813,4013000,2341,105822,4013,105.822,0.349643741377029
"17","Blackburn","Northwest",1989,"1989/1990",221054,51,0.023,"0",221.054,"1",6729,0.368405409,3270300,2479,106009,3270.3,106.009,0.481091228103274
"18","Blackburn","Northwest",1990,"1990/1991",179512,45,0.025,"1",179.512,"1",7535,0.3668215,2922700,2764,106087,2922.7,106.087,0.424180154024527
"19","Blackburn","Northwest",1991,"1991/1992",304763,79,0.026,"1",304.763,"1",8015,0.373799127,3584300,2995,106328,3584.3,106.328,0.742983974117824
"20","Blackburn","Northwest",1992,"1992/1993",341163,64,0.019,"1",341.163,"1",8441,0.338230068,4045000,2855,106278,4045,106.278,0.602194245281244
"21","Blackburn","Northwest",1993,"1993/1994",372145,59,0.016,"1",372.145,"1",8620,0.336658933,4066000,2902,106375,4066,106.375,0.554641598119859
"22","Blackpool","Northwest",1987,"1987/1988",96935,36,0.04,"0",96.935,"0",5552,0.400036023,4798400,2221,132692,4798.4,132.692,0.271304976939077
"23","Blackpool","Northwest",1988,"1988/1989",88701,66,0.07,"0",88.701,"0",6064,0.386048813,4013000,2341,132465,4013,132.465,0.498244819386253
"24","Blackpool","Northwest",1989,"1989/1990",93527,107,0.11,"0",93.527,"0",6729,0.368405409,3270300,2479,132699,3270.3,132.699,0.80633614420606
"25","Blackpool","Northwest",1990,"1990/1991",81340,12,0.02,"1",81.34,"0",7535,0.3668215,2922700,2764,132797,2922.7,132.797,0.0903634871269682
"26","Blackpool","Northwest",1991,"1991/1992",95359,62,0.07,"1",95.359,"0",8015,0.373799127,3584300,2995,133099,3584.3,133.099,0.465818676323639
"27","Blackpool","Northwest",1992,"1992/1993",126523,114,0.09,"1",126.523,"0",8441,0.338230068,4045000,2855,133037,4045,133.037,0.856904470184986
"28","Blackpool","Northwest",1993,"1993/1994",109403,129,0.12,"1",109.403,"0",8620,0.336658933,4066000,2902,133158,4066,133.158,0.968773937728113
"29","Bolton","Northwest",1987,"1987/1988",114778,21,0.02,"0",114.778,"0",5552,0.400036023,4798400,2221,174500,4798.4,174.5,0.120343839541547
"30","Bolton","Northwest",1988,"1988/1989",124626,40,0.03,"0",124.626,"0",6064,0.386048813,4013000,2341,174203,4013,174.203,0.22961717077203
"31","Bolton","Northwest",1989,"1989/1990",167770,73,0.04,"0",167.77,"0",6729,0.368405409,3270300,2479,174511,3270.3,174.511,0.41831173966111
"32","Bolton","Northwest",1990,"1990/1991",148689,12,0.01,"1",148.689,"0",7535,0.3668215,2922700,2764,174639,2922.7,174.639,0.0687131740332915
"33","Bolton","Northwest",1991,"1991/1992",138683,49,0.04,"1",138.683,"0",8015,0.373799127,3584300,2995,175036,3584.3,175.036,0.279942411846706
"34","Bolton","Northwest",1992,"1992/1993",208429,65,0.03,"1",208.429,"0",8441,0.338230068,4045000,2855,174954,4045,174.954,0.37152622975182
"35","Bolton","Northwest",1993,"1993/1994",241462,50,0.02,"1",241.462,"0",8620,0.336658933,4066000,2902,175114,4066,175.114,0.285528284431856
"36","Bournemouth","Southwest",1987,"1987/1988",168757,149,0.088,"0",168.757,"1",6202,0.193647211,2045700,1201,162687,2045.7,162.687,0.915869122917012
"37","Bournemouth","Southwest",1988,"1988/1989",186002,35,0.019,"0",186.002,"1",6659,0.193272263,1587500,1287,164311,1587.5,164.311,0.213010693136795
"38","Bournemouth","Southwest",1989,"1989/1990",171432,213,0.124,"0",171.432,"1",7424,0.185210129,1164600,1375,164954,1164.6,164.954,1.29126908107715
"39","Bournemouth","Southwest",1990,"1990/1991",124558,9,0.007,"1",124.558,"1",8220,0.181021898,1157800,1488,165473,1157.8,165.473,0.0543895378702266
"40","Bournemouth","Southwest",1991,"1991/1992",125839,19,0.015,"1",125.839,"1",8700,0.189310345,1913100,1647,166184,1913.1,166.184,0.114331102873923
"41","Bournemouth","Southwest",1992,"1992/1993",102446,24,0.023,"1",102.446,"1",9212,0.182045158,2471400,1677,167094,2471.4,167.094,0.14363172824877
"42","Bournemouth","Southwest",1993,"1993/1994",100156,28,0.028,"1",100.156,"1",9386,0.179735777,2573200,1687,167793,2573.2,167.793,0.166872277151013
"43","Bradford","Yorkshire Humberside",1987,"1987/1988",285509,197,0.07,"0",285.509,"0",5614,0.293729961,3165800,1649,322772,3165.8,322.772,0.610337947529526
"44","Bradford","Yorkshire Humberside",1988,"1988/1989",242007,85,0.04,"0",242.007,"0",6021,0.287825943,2626200,1733,323405,2626.2,323.405,0.262828342171581
"45","Bradford","Yorkshire Humberside",1989,"1989/1990",199041,69,0.04,"0",199.041,"0",6722,0.271199048,2084700,1823,324969,2084.7,324.969,0.212327945127074
"46","Bradford","Yorkshire Humberside",1990,"1990/1991",138757,9,0.01,"1",138.757,"0",7497,0.265839669,1918200,1993,325542,1918.2,325.542,0.0276462023333395
"47","Bradford","Yorkshire Humberside",1991,"1991/1992",140653,25,0.02,"1",140.653,"0",7989,0.278382776,2463000,2224,326539,2463,326.539,0.0765605333512995
"48","Bradford","Yorkshire Humberside",1992,"1992/1993",151374,20,0.01,"1",151.374,"0",8459,0.282657525,2803000,2391,327395,2803,327.395,0.0610882878480123
"49","Bradford","Yorkshire Humberside",1993,"1993/1994",147095,33,0.02,"1",147.095,"0",8690,0.292059839,2904400,2538,327733,2904.4,327.733,0.100691721614851
"50","Brighton","SouthEast",1987,"1987/1988",205263,34,0.017,"0",205.263,"1",6591,0.739189804,2494000,4872,460029,2494,460.029,0.0739083840366586
"51","Brighton","SouthEast",1988,"1988/1989",208022,47,0.023,"0",208.022,"1",7561,0.684962307,1726500,5179,460534,1726.5,460.534,0.10205543998923
"52","Brighton","SouthEast",1989,"1989/1990",198105,55,0.028,"0",198.105,"1",8290,0.65548854,1233800,5434,461647,1233.8,461.647,0.119138649227657
"53","Brighton","SouthEast",1990,"1990/1991",191448,34,0.018,"1",191.448,"1",9163,0.631998254,1327600,5791,463837,1327.6,463.837,0.0733016124198803
"54","Brighton","SouthEast",1991,"1991/1992",184043,34,0.018,"1",184.043,"1",9565,0.656769472,2524100,6282,465769,2524.1,465.769,0.0729975588757517
"55","Brighton","SouthEast",1992,"1992/1993",154337,19,0.012,"1",154.337,"1",10025,0.634713217,3478000,6363,466950,3478,466.95,0.0406895813256237
"56","Brighton","SouthEast",1993,"1993/1994",177301,21,0.012,"1",177.301,"1",10422,0.625503742,3771100,6519,468024,3771.1,468.024,0.0448694938721091
"57","Bristol","Southwest",1987,"1987/1988",310614,39,0.013,"0",310.614,"1",6202,0.193647211,2045700,1201,464980,2045.7,464.98,0.0838745752505484
"58","Bristol","Southwest",1988,"1988/1989",308227,140,0.045,"0",308.227,"1",6659,0.193272263,1587500,1287,469621,1587.5,469.621,0.298112733459534
"59","Bristol","Southwest",1989,"1989/1990",404828,164,0.041,"0",404.828,"1",7424,0.185210129,1164600,1375,471458,1164.6,471.458,0.347857073164524
"60","Bristol","Southwest",1990,"1990/1991",445572,175,0.039,"1",445.572,"1",8220,0.181021898,1157800,1488,472942,1157.8,472.942,0.37002423130109
"61","Bristol","Southwest",1991,"1991/1992",398566,118,0.03,"1",398.566,"1",8700,0.189310345,1913100,1647,474974,1913.1,474.974,0.248434651159853
"62","Bristol","Southwest",1992,"1992/1993",385211,90,0.023,"1",385.211,"1",9212,0.182045158,2471400,1677,477575,2471.4,477.575,0.188452075590221
"63","Bristol","Southwest",1993,"1993/1994",325810,55,0.017,"1",325.81,"1",9386,0.179735777,2573200,1687,479572,2573.2,479.572,0.114685594655234
"64","Burnley","Northwest",1987,"1987/1988",144770,90,0.06,"0",144.77,"0",5552,0.400036023,4798400,2221,73280,4798.4,73.28,1.22816593886463
"65","Burnley","Northwest",1988,"1988/1989",162583,47,0.03,"0",162.583,"0",6064,0.386048813,4013000,2341,73155,4013,73.155,0.642471464698243
"66","Burnley","Northwest",1989,"1989/1990",142967,47,0.03,"0",142.967,"0",6729,0.368405409,3270300,2479,73284,3270.3,73.284,0.64134053818023
"67","Burnley","Northwest",1990,"1990/1991",169424,22,0.01,"1",169.424,"0",7535,0.3668215,2922700,2764,73338,2922.7,73.338,0.299980910305708
"68","Burnley","Northwest",1991,"1991/1992",231466,48,0.02,"1",231.466,"0",8015,0.373799127,3584300,2995,73505,3584.3,73.505,0.653016801578124
"69","Burnley","Northwest",1992,"1992/1993",242347,71,0.03,"1",242.347,"0",8441,0.338230068,4045000,2855,73470,4045,73.47,0.966380835715258
"70","Burnley","Northwest",1993,"1993/1994",259283,23,0.01,"1",259.283,"0",8620,0.336658933,4066000,2902,73537,4066,73.537,0.312767722371051
"71","Bury","Northwest",1987,"1987/1988",58997,5,0.01,"0",58.997,"0",5552,0.400036023,4798400,2221,69383,4798.4,69.383,0.0720637620166323
"72","Bury","Northwest",1988,"1988/1989",77346,27,0.04,"0",77.346,"0",6064,0.386048813,4013000,2341,69264,4013,69.264,0.38981288981289
"73","Bury","Northwest",1989,"1989/1990",79210,27,0.03,"0",79.21,"0",6729,0.368405409,3270300,2479,69387,3270.3,69.387,0.389121881620476
"74","Bury","Northwest",1990,"1990/1991",61844,11,0.02,"1",61.844,"0",7535,0.3668215,2922700,2764,69438,2922.7,69.438,0.158414700884242
"75","Bury","Northwest",1991,"1991/1992",66734,7,0.01,"1",66.734,"0",8015,0.373799127,3584300,2995,69596,3584.3,69.596,0.100580493131789
"76","Bury","Northwest",1992,"1992/1993",56067,12,0.02,"1",56.067,"0",8441,0.338230068,4045000,2855,69563,4045,69.563,0.172505498612768
"77","Bury","Northwest",1993,"1993/1994",54529,4,0.01,"1",54.529,"0",8620,0.336658933,4066000,2902,69626,4066,69.626,0.0574498032344239
"78","Cambridge","East",1987,"1987/1988",52896,29,0.06,"0",52.896,"0",6467,0.416576465,1959500,2694,50019,1959.5,50.019,0.579779683720186
"79","Cambridge","East",1988,"1988/1989",59655,17,0.03,"0",59.655,"0",7334,0.396100355,1379500,2905,50498,1379.5,50.498,0.336646995920631
"80","Cambridge","East",1989,"1989/1990",45349,1,0,"0",45.349,"0",8154,0.377483444,960300,3078,50718,960.3,50.718,0.0197168658070113
"81","Cambridge","East",1990,"1990/1991",116542,3,0,"1",116.542,"0",8963,0.372531518,1031700,3339,51023,1031.7,51.023,0.0587970131117339
"82","Cambridge","East",1991,"1991/1992",162804,9,0.01,"1",162.804,"0",9381,0.389830508,1825000,3657,51575,1825,51.575,0.174503150751333
"83","Cambridge","East",1992,"1992/1993",127526,26,0.02,"1",127.526,"0",9856,0.375,2464200,3696,51690,2464.2,51.69,0.502998645772877
"84","Cambridge","East",1993,"1993/1994",84773,6,0.01,"1",84.773,"0",9986,0.383536952,2669500,3830,51767,2669.5,51.767,0.115903954256573
"85","Cardiff","Wales",1987,"1987/1988",101752,43,0.04,"0",101.752,"0",5213,0.1705352,1760400,889,308761,1760.4,308.761,0.139266293346634
"86","Cardiff","Wales",1988,"1988/1989",100643,16,0.02,"0",100.643,"0",5662,0.164959378,1472600,934,310802,1472.6,310.802,0.0514797202077207
"87","Cardiff","Wales",1989,"1989/1990",84304,32,0.04,"0",84.304,"0",6380,0.153605016,1142500,980,312328,1142.5,312.328,0.102456391998156
"88","Cardiff","Wales",1990,"1990/1991",67989,8,0.01,"1",67.989,"0",7140,0.148739496,1027400,1062,313021,1027.4,313.021,0.0255573907181946
"89","Cardiff","Wales",1991,"1991/1992",136300,8,0.01,"1",136.3,"0",7634,0.152475766,1344800,1164,314278,1344.8,314.278,0.0254551702632701
"90","Cardiff","Wales",1992,"1992/1993",179752,14,0.01,"1",179.752,"0",8099,0.148289912,1507800,1201,314789,1507.8,314.789,0.0444742351225742
"91","Cardiff","Wales",1993,"1993/1994",139150,15,0.01,"1",139.15,"0",8178,0.151993152,1552500,1243,315433,1552.5,315.433,0.0475536801793091
"92","Carlisle","Northwest",1987,"1987/1988",51282,27,0.05,"0",51.282,"0",5552,0.400036023,4798400,2221,67671,4798.4,67.671,0.398989227290863
"93","Carlisle","Northwest",1988,"1988/1989",73696,17,0.02,"0",73.696,"0",6064,0.386048813,4013000,2341,67555,4013,67.555,0.251646806305973
"94","Carlisle","Northwest",1989,"1989/1990",107959,15,0.01,"0",107.959,"0",6729,0.368405409,3270300,2479,67675,3270.3,67.675,0.221647580347248
"95","Carlisle","Northwest",1990,"1990/1991",64655,14,0.02,"1",64.655,"0",7535,0.3668215,2922700,2764,67725,2922.7,67.725,0.20671834625323
"96","Carlisle","Northwest",1991,"1991/1992",53568,19,0.04,"1",53.568,"0",8015,0.373799127,3584300,2995,67879,3584.3,67.879,0.279909839567466
"97","Carlisle","Northwest",1992,"1992/1993",75821,12,0.02,"1",75.821,"0",8441,0.338230068,4045000,2855,67847,4045,67.847,0.17686854245582
"98","Carlisle","Northwest",1993,"1993/1994",116244,16,0.01,"1",116.244,"0",8620,0.336658933,4066000,2902,67909,4066,67.909,0.235609418486504
"99","Chester","Northwest",1987,"1987/1988",58967,22,0.04,"0",58.967,"0",5552,0.400036023,4798400,2221,77290,4798.4,77.29,0.284642256436796
"100","Chester","Northwest",1988,"1988/1989",70119,20,0.03,"0",70.119,"0",6064,0.386048813,4013000,2341,77159,4013,77.159,0.259205018209152
"101","Chester","Northwest",1989,"1989/1990",55914,46,0.08,"0",55.914,"0",6729,0.368405409,3270300,2479,77295,3270.3,77.295,0.595122582314509
"102","Chester","Northwest",1990,"1990/1991",24040,0,0,"1",24.04,"0",7535,0.3668215,2922700,2764,77352,2922.7,77.352,0
"103","Chester","Northwest",1991,"1991/1992",42711,11,0.03,"1",42.711,"0",8015,0.373799127,3584300,2995,77528,3584.3,77.528,0.141884222474461
"104","Chester","Northwest",1992,"1992/1993",68806,29,0.04,"1",68.806,"0",8441,0.338230068,4045000,2855,77491,4045,77.491,0.374237008168691
"105","Chester","Northwest",1993,"1993/1994",67008,30,0.05,"1",67.008,"0",8620,0.336658933,4066000,2902,77562,4066,77.562,0.386787344318094
"106","Chesterfield ","East Midlands",1987,"1987/1988",61239,21,0.03,"0",61.239,"0",5812,0.203716449,2037200,1184,76617,2037.2,76.617,0.274090606523356
"107","Chesterfield ","East Midlands",1988,"1988/1989",86746,44,0.05,"0",86.746,"0",6271,0.202997927,1631500,1273,77113,1631.5,77.113,0.570591210301765
"108","Chesterfield ","East Midlands",1989,"1989/1990",98265,54,0.06,"0",98.265,"0",7055,0.197023388,1244300,1390,77608,1244.3,77.608,0.695804556231316
"109","Chesterfield ","East Midlands",1990,"1990/1991",72805,9,0.01,"1",72.805,"0",7757,0.18834601,1181000,1461,77938,1181,77.938,0.115476404321384
"110","Chesterfield ","East Midlands",1991,"1991/1992",75664,12,0.02,"1",75.664,"0",8233,0.183772622,1686500,1513,78298,1686.5,78.298,0.153260619683772
"111","Chesterfield ","East Midlands",1992,"1992/1993",67468,23,0.03,"1",67.468,"0",8602,0.179958149,2068900,1548,78791,2068.9,78.791,0.291911512736226
"112","Chesterfield ","East Midlands",1993,"1993/1994",66958,33,0.05,"1",66.958,"0",8912,0.187387792,2171900,1670,79166,2171.9,79.166,0.416845615542026
"113","Colchester","East",1987,"1987/1988",40607,0,0,"0",40.607,"0",6467,0.416576465,1959500,2694,40971,1959.5,40.971,0
"114","Colchester","East",1988,"1988/1989",66421,7,0.01,"0",66.421,"0",7334,0.396100355,1379500,2905,41364,1379.5,41.364,0.169229281500822
"115","Colchester","East",1989,"1989/1990",70940,17,0.02,"0",70.94,"0",8154,0.377483444,960300,3078,41543,960.3,41.543,0.409214548780781
"116","Colchester","East",1990,"1990/1991",72805,9,0.01,"1",72.805,"0",8963,0.372531518,1031700,3339,41794,1031.7,41.794,0.215341915107432
"117","Colchester","East",1991,"1991/1992",42711,11,0.03,"1",42.711,"0",9381,0.389830508,1825000,3657,42246,1825,42.246,0.260379680916536
"118","Colchester","East",1992,"1992/1993",79321,14,0.02,"1",79.321,"0",9856,0.375,2464200,3696,42340,2464.2,42.34,0.330656589513462
"119","Colchester","East",1993,"1993/1994",59998,6,0.01,"1",59.998,"0",9986,0.383536952,2669500,3830,42403,2669.5,42.403,0.141499422210693
"120","Coventry","West Midlands",1987,"1987/1988",350165,194,0.055,"0",350.165,"1",5442,0.286659316,3475800,1560,302194,3475.8,302.194,0.641971713535014
"121","Coventry","West Midlands",1988,"1988/1989",302902,190,0.063,"0",302.902,"1",5992,0.276368491,2734300,1656,302742,2734.3,302.742,0.627597095877017
"122","Coventry","West Midlands",1989,"1989/1990",271543,192,0.071,"0",271.543,"1",6683,0.25497531,1999800,1704,303301,1999.8,303.301,0.633034510271974
"123","Coventry","West Midlands",1990,"1990/1991",263712,149,0.057,"1",263.712,"1",7500,0.251866667,1818500,1889,303580,1818.5,303.58,0.490809671256341
"124","Coventry","West Midlands",1991,"1991/1992",291396,78,0.027,"1",291.396,"1",8026,0.261649639,2600700,2100,304237,2600.7,304.237,0.256379072893829
"125","Coventry","West Midlands",1992,"1992/1993",313963,125,0.04,"1",313.963,"1",8500,0.238235294,3208900,2025,304684,3208.9,304.684,0.410261122999567
"126","Coventry","West Midlands",1993,"1993/1994",280392,90,0.032,"1",280.392,"1",8685,0.226137018,3341400,1964,305181,3341.4,305.181,0.294906956855112
"127","Crewe","Northwest",1987,"1987/1988",51828,21,0.04,"0",51.828,"0",5552,0.400036023,4798400,2221,64450,4798.4,64.45,0.325833979829325
